horizon,lambda,k,p_path_count,p_empirical,p_rare_event_pmf,abs_diff_emp_vs_pc,abs_diff_pc_vs_rare
10000,100.0,43,5.238578663682368e-11,0.0,6.157510184336505e-11,5.238578663682368e-11,9.189315206541372e-12
10000,100.0,44,1.1974409493924504e-10,0.0,1.3994341328037265e-10,1.1974409493924504e-10,2.0199318341127604e-11
10000,100.0,45,2.6760318949763525e-10,0.0,3.1098536284527604e-10,2.6760318949763525e-10,4.338217334764079e-11
10000,100.0,46,5.84977986697801e-10,0.0,6.760551366201656e-10,5.84977986697801e-10,9.107714992236453e-11
10000,100.0,47,1.2514229270668947e-09,0.0,1.4384151842982318e-09,1.2514229270668947e-09,1.8699225723133708e-10
10000,100.0,48,2.6210884665501218e-09,0.0,2.9966983006213285e-09,2.6210884665501218e-09,3.7560983407120676e-10
10000,100.0,49,5.377256734524005e-09,0.0,6.115710817594495e-09,5.377256734524005e-09,7.384540830704903e-10
10000,100.0,50,1.0809915507934427e-08,0.0,1.2231421635188664e-08,1.0809915507934427e-08,1.4215061272542371e-09
10000,100.0,51,2.1302962824973867e-08,0.0,2.3983179676842096e-08,2.1302962824973867e-08,2.680216851868229e-09
10000,100.0,52,4.117000333177703e-08,0.0,4.612149937854048e-08,4.117000333177703e-08,4.951496046763447e-09
10000,100.0,53,7.805587824209585e-08,0.0,8.70216969406424e-08,7.805587824209585e-08,8.965818698546553e-09
10000,100.0,54,1.452341602813357e-07,0.0,1.6115129063082618e-07,1.452341602813357e-07,1.591713034949047e-08
10000,100.0,55,2.652890648641434e-07,0.0,2.930023466014931e-07,2.652890648641434e-07,2.7713281737349716e-08
10000,100.0,56,4.75883793303558e-07,0.0,5.232184760740772e-07,4.75883793303558e-07,4.733468277051917e-08
10000,100.0,57,8.385944427876719e-07,0.0,9.179271510071817e-07,8.385944427876719e-07,7.933270821950984e-08
10000,100.0,58,1.45213245289546e-06,5e-06,1.5826330189779328e-06,3.5478675471045404e-06,1.3050056608247284e-07
10000,100.0,59,2.471683075979513e-06,0.0,2.6824288457252413e-06,2.471683075979513e-06,2.107457697457285e-07
10000,100.0,60,4.136532232026553e-06,0.0,4.470714742875362e-06,4.136532232026553e-06,3.3418251084880874e-07
10000,100.0,61,6.808599169807169e-06,0.0,7.3290405620909095e-06,6.808599169807169e-06,5.204413922837403e-07
10000,100.0,62,1.1024872458244484e-05,5e-06,1.1821033164662645e-05,6.024872458244484e-06,7.961607064181612e-07
10000,100.0,63,1.7566968492766064e-05,2e-05,1.876354470581435e-05,2.4330315072339372e-06,1.196576213048284e-06
10000,100.0,64,2.7550973155550452e-05,4e-05,2.93180386028332e-05,1.2449026844449551e-05,1.7670654472827473e-06
10000,100.0,65,4.254024386520203e-05,5.5e-05,4.510467477358953e-05,1.2459756134797974e-05,2.5644309083875018e-06
10000,100.0,66,6.468278585884477e-05,6.5e-05,6.834041632362347e-05,3.1721414115522435e-07,3.6576304647787e-06
10000,100.0,67,9.687302799905446e-05,0.0001,0.00010200062137854466,3.1269720009455488e-06,5.127593379490204e-06
10000,100.0,68,0.00014293520307824848,0.000145,0.00015000091379196507,2.064796921751516e-06,7.065710713716585e-06
10000,100.0,69,0.0002078220519690603,0.00021,0.0002173926286840207,2.177948030939711e-06,9.570576714960406e-06
10000,100.0,70,0.0002978182969810375,0.000285,0.00031056089812003264,1.2818296981037525e-05,1.274260113899513e-05
10000,100.0,71,0.00042073348826256293,0.00042,0.00043740971566200046,7.334882625629167e-07,1.6676227399437524e-05
10000,100.0,72,0.0005860638054123225,0.000605,0.0006075134939750231,1.8936194587677456e-05,2.1449688562700554e-05
10000,100.0,73,0.0008050977528857456,0.000855,0.000832210265719151,4.9902247114254404e-05,2.7112512833405442e-05
10000,100.0,74,0.0010909371270633361,0.001015,0.001124608467188049,7.593712706333608e-05,3.3671340124712774e-05
10000,100.0,75,0.0014584029526163837,0.00155,0.0014994779562508688,9.159704738361625e-05,4.107500363448508e-05
10000,100.0,76,0.0019237970899729734,0.00187,0.001972997310856288,5.3797089972973475e-05,4.920022088331457e-05
10000,100.0,77,0.0025044945980397656,0.002425,0.0025623341699431727,7.949459803976554e-05,5.783957190340708e-05
10000,100.0,78,0.0032183501549109847,0.00322,0.003285043807619509,1.649845089015528e-06,6.669365270852443e-05
10000,100.0,79,0.004082913979956064,0.004185,0.004158283300784297,0.00010208602004393649,7.536932082823338e-05
10000,100.0,80,0.00511446838322284,0.005195,0.005197854125980589,8.053161677715973e-05,8.338574275774859e-05
10000,100.0,81,0.006326914373510885,0.00654,0.006417103859235232,0.00021308562648911494,9.01894857243471e-05
10000,100.0,82,0.007730557239424984,0.007935,0.00782573641370161,0.0002044427605750153,9.517917427662517e-05
10000,100.0,83,0.009330858792964277,0.009345,0.009428598088796952,1.41412070357224e-05,9.773929583267553e-05
