horizon,x,empirical_density,analytical_cauchy_density_scale_n,abs_diff
2,21.0,0.0014918266137815398,0.0014306062300395088,6.122038374203106e-05
2,23.0,0.0012841359816421743,0.0011944085785508094,8.972740309136492e-05
2,25.0,0.0010561828488062854,0.001012114105512848,4.4068743293437405e-05
2,27.0,0.0008535578418410508,0.0008685126498875599,1.4954808046509119e-05
2,29.0,0.0007750406516420224,0.0007533961803166643,2.1644471325358108e-05
2,31.0,0.0006484000222887507,0.0006597096086710688,1.1309586382318064e-05
2,33.0,0.0005445547062190681,0.000582451758799251,3.789705258018289e-05
2,35.0,0.00045337345308471246,0.0005179981874431093,6.462473435839684e-05
2,37.0,0.0005470875188061335,0.0004636706280900083,8.341689071612521e-05
2,39.0,0.00040018438875633836,0.00041745558843775827,1.727119968141991e-05
2,41.0,0.0003849875132339458,0.0003778158886454489,7.171624588496906e-06
2,43.0,0.0003317984489055717,0.0003435616688438108,1.1763219938239092e-05
2,45.0,0.00032166719855730995,0.00031376036095001543,7.90683760729452e-06
2,47.0,0.0002558140712936087,0.00028767273943406296,3.1858668140454264e-05
2,49.0,0.0003039375104478519,0.0002647067660572064,3.9230744390645494e-05
2,51.0,0.00021275625731349634,0.0002443837897764228,3.162753246292645e-05
2,53.0,0.00023555157059708523,0.00022631346333721342,9.23810725987181e-06
2,55.0,0.00019755938179110376,0.00021017490008833984,1.2615518297236076e-05
2,57.0,0.00017223125592044942,0.00019570235855136226,2.3471102630912835e-05
2,59.0,0.00020009219437816918,0.00018267425319012378,1.74179411880454e-05
2,61.0,0.00018742813144284203,0.00017090463687720306,1.6523494565638962e-05
2,63.0,0.0001621000055721877,0.00016023653973510732,1.8634658370803687e-06
2,65.0,0.0001241078167662062,0.00015053671609543186,2.642889932922567e-05
2,67.0,0.0001165093790050099,0.00014169146947865153,2.518209047364163e-05
2,69.0,0.00015196875522392595,0.00013360331004566242,1.8365445178263534e-05
2,71.0,0.00013423906711446793,0.00012618826013232533,8.0508069821426e-06
2,73.0,0.00013677187970153337,0.00011937366817318233,1.739821152835104e-05
2,75.0,0.00011904219159207534,0.00011309642429695886,5.94576729511648e-06
2,77.0,9.371406572142101e-05,0.00010730149542686354,1.3587429705442524e-05
2,79.0,9.371406572142101e-05,0.00010194071615173441,8.226650430313395e-06
2,81.0,0.0001013125034826173,9.697178558531324e-05,4.340717897304065e-06
2,83.0,6.838593985076669e-05,9.23574310703005e-05,2.3971491219533817e-05
2,85.0,9.877969089555188e-05,8.806470775592494e-05,1.0714983139626939e-05
2,87.0,6.585312726370125e-05,8.406440939754145e-05,1.8211282133840195e-05
2,89.0,8.864844054729014e-05,8.033057064575158e-05,8.317869901538561e-06
2,91.0,5.572187691543952e-05,7.684004494478954e-05,2.111816802935002e-05
2,93.0,7.598437761196298e-05,7.357214519445064e-05,2.412232417512336e-06
2,95.0,6.585312726370125e-05,7.05083367335897e-05,4.655209469888445e-06
2,97.0,7.598437761196298e-05,6.76319741174526e-05,8.352403494510377e-06
2,99.0,7.598437761196298e-05,6.492807469327703e-05,1.1056302918685941e-05
10,-495.0,1.4182026307658799e-05,1.2985614938655407e-05,1.1964113690033925e-06
10,-485.0,1.4182026307658799e-05,1.352639482349052e-05,6.556314841682788e-07
10,-475.0,1.3675525368099558e-05,1.410166734671794e-05,4.2614197861838197e-07
10,-465.0,9.623517851625614e-06,1.4714429038890129e-05,5.090911187264515e-06
10,-455.0,1.4688527247218044e-05,1.536800898895791e-05,6.794817417398661e-07
10,-445.0,2.228604134060669e-05,1.606611412915032e-05,6.2199272114563696e-06
10,-435.0,1.6208030065895772e-05,1.681288187950829e-05,6.048518136125178e-07
10,-425.0,1.7221031945014257e-05,1.7612941551184987e-05,3.9190960617072957e-07
