horizon,k,p_convolution_exact,p_convolution_empirical,abs_diff
500,2050,2.8533850008537718e-16,5.506685519520148e-16,2.6533005186663764e-16
500,2051,2.3096440422370955e-16,4.470159093908891e-16,2.1605150516717955e-16
500,2052,1.8681302086712505e-16,3.6260602753247466e-16,1.757930066653496e-16
500,2053,1.5098940244254521e-16,2.9391801933632275e-16,1.4292861689377754e-16
500,2054,1.2194467505430017e-16,2.380654543191402e-16,1.1612077926484002e-16
500,2055,9.84138189289412e-17,1.9268386060729081e-16,9.427004167834962e-17
500,2056,7.936445094935875e-17,1.5583783623055236e-16,7.647338528119362e-17
500,2057,6.395469782455673e-17,1.2594441325556245e-16,6.198971543100572e-17
500,2058,5.149857433749453e-17,1.0170988178414609e-16,5.021130744665156e-17
500,2059,4.143755255563526e-17,8.207775164565674e-17,4.0640199090021484e-17
500,2060,3.3317233779887996e-17,6.618592267939235e-17,3.286868889950435e-17
500,2061,2.6768222828710575e-17,5.3331462384769433e-17,2.6563239556058858e-17
500,2062,2.1490460286138212e-17,4.2941662987092647e-17,2.1451202700954435e-17
500,2063,1.7240397853727637e-17,3.4550277524827944e-17,1.7309879671100307e-17
500,2064,1.382050935174552e-17,2.777802389347265e-17,1.395751454172713e-17
500,2065,1.1070718910704277e-17,2.231660316799365e-17,1.1245884257289372e-17
500,2066,8.86140157242554e-18,1.791560924683115e-17,9.054207674405611e-18
500,2067,7.087672464078723e-18,1.4371815340216788e-17,7.284142876138065e-18
500,2068,5.664731076494394e-18,1.1520412770870123e-17,5.8556816943757286e-18
500,2069,4.524068769140492e-18,9.227852068705154e-18,4.703783299564662e-18
500,2070,3.610381938336247e-18,7.385998017636186e-18,3.775616079299939e-18
500,2071,2.879061571438064e-18,5.9073613197196754e-18,3.0282997482816114e-18
500,2072,2.2941532068056656e-18,4.721211689240009e-18,2.427058482434343e-18
500,2073,1.8267004908594928e-18,3.7704119860480734e-18,1.9437114951885806e-18
500,2074,1.4534012865293552e-18,3.008841700908008e-18,1.5554404143786529e-18
500,2075,1.1555182367711836e-18,2.3993017625539805e-18,1.2437835257827969e-18
500,2076,9.17996315703789e-19,1.9118121172037364e-18,9.938158014999475e-19
500,2077,7.287486166574389e-19,1.5222295598532817e-18,7.934809431958428e-19
500,2078,5.780787689131636e-19,1.2111264733914875e-18,6.330477044783239e-19
500,2079,4.582142224577045e-19,9.628819546053817e-19,5.046677321476773e-19
500,2080,3.6292942337054235e-19,7.649456883485981e-19,4.020162649780557e-19
500,2081,2.8724181185197614e-19,6.07242214348588e-19,3.2000040249661187e-19
500,2082,2.271667673294007e-19,4.816891981076882e-19,2.545224307782875e-19
500,2083,1.795202298083244e-19,3.818082018202213e-19,2.022879720118969e-19
500,2084,1.4175985004484667e-19,3.0241044617066645e-19,1.6065059612581978e-19
500,2085,1.1185725067444746e-19,2.3934331851479496e-19,1.274860678403475e-19
500,2086,8.819538799091974e-20,1.8928604851700124e-19,1.010906605260815e-19
500,2087,6.948614860239656e-20,1.495851469053277e-19,8.009899830293115e-20
500,2088,5.470424505798339e-20,1.181219755424403e-19,6.341773048445691e-20
500,2089,4.3034229358756097e-20,9.320626060495923e-20,5.017203124620313e-20
500,2090,3.3828055472435275e-20,7.349053536306472e-20,3.966247989062945e-20
500,2091,2.657111808556009e-20,5.790145413381735e-20,3.1330336048257264e-20
500,2092,2.0855096523156444e-20,4.5584694846744387e-20,2.4729598323587942e-20
500,2093,1.6356257736947638e-20,3.5860797404598355e-20,1.9504539667650717e-20
500,2094,1.2818134940744621e-20,2.818979573266126e-20,1.537166079191664e-20
500,2095,1.0037710616674124e-20,2.2142915235988937e-20,1.2105204619314813e-20
500,2096,7.854403804276537e-21,1.737994242156456e-20,9.525538617288022e-21
500,2097,6.1412996062151275e-21,1.3631144462774676e-20,7.489844856559547e-21
500,2098,4.7981700309155e-21,1.0682835533755195e-20,5.884665502839695e-21
500,2099,3.7459247854918374e-21,8.365863637168565e-21,4.619938851676727e-21
500,2100,2.92220260341996e-21,6.546434382412171e-21,3.624231778992211e-21
500,2101,2.2778715222169896e-21,5.1188032424682976e-21,2.840931720251308e-21
500,2102,1.7742529557201733e-21,3.999460509338525e-21,2.2252075536183514e-21
500,2103,1.3809216497005427e-21,3.1225077697156706e-21,1.741586120015128e-21
500,2104,1.0739634603422504e-21,2.435984714101736e-21,1.3620212537594857e-21
500,2105,8.345967999824379e-22,1.8989532945852795e-21,1.0643564946028416e-21
500,2106,6.480827216084887e-22,1.4791849431805796e-21,8.311022215720909e-22
500,2107,5.028639049184026e-22,1.1513276022449395e-21,6.484636973265369e-22
500,2108,3.898850211687475e-22,8.954541951859544e-22,5.055691740172069e-22
500,2109,3.020567024417508e-22,6.959140862978521e-22,3.9385738385610125e-22
500,2110,2.3383311465419716e-22,5.404250170619181e-22,3.0659190240772095e-22
