series,forecaster,rmse
S4: AR(1) explosive,OLS-AR(1),1.0183983514034503
S4: AR(1) explosive,OLS-AR(2),1.094168542050961
S4: AR(1) explosive,OLS-AR(2),1.081008517298251
S4: AR(1) explosive,OLS-AR(2),0.9484405557717308
S4: AR(1) explosive,OLS-AR(2),1.013612769689352
S4: AR(1) explosive,OLS-AR(2),1.151769837009149
S4: AR(1) explosive,OLS-AR(2),1.1676807061736685
S4: AR(1) explosive,OLS-AR(2),1.0690679017638163
S4: AR(1) explosive,OLS-AR(2),0.9233401790484009
S4: AR(1) explosive,OLS-AR(2),1.0300840594182914
S4: AR(1) explosive,OLS-AR(2),1.0624295099176835
S4: AR(1) explosive,OLS-AR(2),0.9851193802105326
S4: AR(1) explosive,OLS-AR(2),1.1168521069338635
S4: AR(1) explosive,OLS-AR(2),1.07291438730416
S4: AR(1) explosive,OLS-AR(2),1.1136865892208847
S4: AR(1) explosive,OLS-AR(2),0.9805026600022103
S4: AR(1) explosive,OLS-AR(2),1.0358397131966717
S4: AR(1) explosive,OLS-AR(2),1.1085845289175433
S4: AR(1) explosive,OLS-AR(2),0.9699527973553785
S4: AR(1) explosive,OLS-AR(2),1.102860131666143
S4: AR(1) explosive,OLS-AR(2),1.019318510643069
S4: AR(1) explosive,YW-AR(2),578521599094.9806
S4: AR(1) explosive,YW-AR(2),741707120516.0062
S4: AR(1) explosive,YW-AR(2),211480235698.7258
S4: AR(1) explosive,YW-AR(2),450983627771.4945
S4: AR(1) explosive,YW-AR(2),235333320085.03635
S4: AR(1) explosive,YW-AR(2),408329362948.10315
S4: AR(1) explosive,YW-AR(2),236138404956.0661
S4: AR(1) explosive,YW-AR(2),69609064812.92348
S4: AR(1) explosive,YW-AR(2),105371564923.99257
S4: AR(1) explosive,YW-AR(2),185985542656.4705
S4: AR(1) explosive,YW-AR(2),200965850666.9609
S4: AR(1) explosive,YW-AR(2),65013221953.58317
S4: AR(1) explosive,YW-AR(2),506103862889.568
S4: AR(1) explosive,YW-AR(2),320460131602.50635
S4: AR(1) explosive,YW-AR(2),387334135286.2791
S4: AR(1) explosive,YW-AR(2),263623180892.6505
S4: AR(1) explosive,YW-AR(2),576939389623.5441
S4: AR(1) explosive,YW-AR(2),574367915328.4148
S4: AR(1) explosive,YW-AR(2),272434821478.21664
S4: AR(1) explosive,YW-AR(2),565422904587.6729
S4: AR(1) explosive,Naive,300916422558.1213
S4: AR(1) explosive,Naive,385796923815.3179
S4: AR(1) explosive,Naive,110000864389.04953
S4: AR(1) explosive,Naive,234577896682.74957
S4: AR(1) explosive,Naive,122407980790.09918
S4: AR(1) explosive,Naive,212391397859.6035
S4: AR(1) explosive,Naive,122826743477.09085
S4: AR(1) explosive,Naive,36206964085.45113
S4: AR(1) explosive,Naive,54808730401.59849
S4: AR(1) explosive,Naive,96739869749.39449
S4: AR(1) explosive,Naive,104531835861.66719
S4: AR(1) explosive,Naive,33816449031.21217
S4: AR(1) explosive,Naive,263248535753.55765
S4: AR(1) explosive,Naive,166686458250.03693
S4: AR(1) explosive,Naive,201470787793.09448
S4: AR(1) explosive,Naive,137122874274.13402
S4: AR(1) explosive,Naive,300093440642.4449
S4: AR(1) explosive,Naive,298755895342.7785
S4: AR(1) explosive,Naive,141706224949.48645
S4: AR(1) explosive,Naive,294103172547.2404
S5: AR(2) stable,PT-univ,0.8941042698002631
S5: AR(2) stable,PT-univ,0.8113325211805598
S5: AR(2) stable,PT-univ,1.0744869490911162
S5: AR(2) stable,PT-univ,1.0432564249138208
S5: AR(2) stable,PT-univ,1.0989201691694204
S5: AR(2) stable,PT-univ,1.036460862616122
S5: AR(2) stable,PT-univ,0.9081277720646738
S5: AR(2) stable,PT-univ,0.9406030297391834
S5: AR(2) stable,PT-univ,0.9458891948009033
S5: AR(2) stable,PT-univ,0.8841554807519485
S5: AR(2) stable,PT-univ,0.9419848252688607
S5: AR(2) stable,PT-univ,1.0117902991951306
S5: AR(2) stable,PT-univ,1.0215184087955553
S5: AR(2) stable,PT-univ,0.9868240130916274
S5: AR(2) stable,PT-univ,0.9815514632939533
S5: AR(2) stable,PT-univ,0.9741797652178942
S5: AR(2) stable,PT-univ,0.9220027481660713
S5: AR(2) stable,PT-univ,1.0106975210654348
S5: AR(2) stable,PT-univ,1.0776994253368317
S5: AR(2) stable,PT-univ,0.8904854430098396
S5: AR(2) stable,PT-univ-quad,0.8976999891668017
S5: AR(2) stable,PT-univ-quad,0.8032849287148662
S5: AR(2) stable,PT-univ-quad,1.0787932103829356
S5: AR(2) stable,PT-univ-quad,1.0507156447459851
S5: AR(2) stable,PT-univ-quad,1.0950302455438112
S5: AR(2) stable,PT-univ-quad,1.0364903870842326
S5: AR(2) stable,PT-univ-quad,0.9204964634713325
S5: AR(2) stable,PT-univ-quad,0.9518168408703147
S5: AR(2) stable,PT-univ-quad,0.9456173371758061
S5: AR(2) stable,PT-univ-quad,0.900504806444399
S5: AR(2) stable,PT-univ-quad,0.9391903946414698
S5: AR(2) stable,PT-univ-quad,1.0259236059667611
S5: AR(2) stable,PT-univ-quad,1.0309491388995264
S5: AR(2) stable,PT-univ-quad,0.9863841282376334
S5: AR(2) stable,PT-univ-quad,0.9946605684290224
